,precision,recall,f1-score,support
negative,0.7088897992625973,0.7271199260442054,0.7178891470295387,11899.0
neutral,0.6166938880770223,0.6029078073787714,0.6097229304776475,11899.0
positive,0.8063074458217387,0.803596940919405,0.8049499116087213,11899.0
accuracy,0.7112082247807939,0.7112082247807939,0.7112082247807939,0.7112082247807939
macro avg,0.7106303777204528,0.711208224780794,0.7108539963719691,35697.0
weighted avg,0.7106303777204528,0.7112082247807939,0.7108539963719692,35697.0
